tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
6.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
7.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
8.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
9.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
1.000000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.200000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.300000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
1.400000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
1.500000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
1.600000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
1.700000000000000000e+01,1.000000000000000000e+00,2.025000000000005615e-02
1.800000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
1.900000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
2.000000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
2.100000000000000000e+01,1.000000000000000000e+00,2.650000000000005823e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
2.300000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.400000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.500000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.600000000000000000e+01,1.000000000000000000e+00,3.874999999999993033e-02
2.700000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
2.800000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
2.900000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
3.000000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
3.100000000000000000e+01,1.000000000000000000e+00,5.150000000000005962e-02
3.200000000000000000e+01,1.000000000000000000e+00,5.474999999999994454e-02
3.300000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
3.400000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
3.500000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
3.600000000000000000e+01,1.000000000000000000e+00,6.050000000000003986e-02
3.700000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
3.800000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
3.900000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
4.000000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
4.100000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
4.200000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
4.300000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
4.400000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
4.500000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
4.600000000000000000e+01,1.000000000000000000e+00,8.224999999999997591e-02
4.700000000000000000e+01,1.000000000000000000e+00,8.450000000000006117e-02
4.800000000000000000e+01,1.000000000000000000e+00,8.699999999999992462e-02
4.900000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
5.000000000000000000e+01,1.000000000000000000e+00,9.024999999999998301e-02
5.100000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
5.200000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
5.300000000000000000e+01,1.000000000000000000e+00,9.749999999999996170e-02
5.400000000000000000e+01,1.000000000000000000e+00,1.029999999999999388e-01
5.500000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
5.600000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
5.700000000000000000e+01,1.000000000000000000e+00,1.054999999999999688e-01
5.800000000000000000e+01,1.000000000000000000e+00,1.102500000000000979e-01
5.900000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
6.000000000000000000e+01,1.000000000000000000e+00,1.134999999999999759e-01
6.100000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
6.200000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.232499999999999984e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.279999999999999472e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.290000000000000868e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.290000000000000868e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.304999999999999771e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.337500000000000355e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.352500000000000924e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.369999999999999274e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.369999999999999274e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.384999999999999842e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.425000000000000711e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
7.600000000000000000e+01,1.000000000000000000e+00,5.150000000000005962e-02
7.700000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.490000000000000213e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.522500000000000797e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.547499999999999432e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.612500000000000600e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.612500000000000600e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.619999999999999218e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.667500000000000371e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.692500000000000671e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.692500000000000671e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.707499999999999574e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.765000000000000457e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.772500000000000742e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.772500000000000742e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.804999999999999660e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.812499999999999944e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.852500000000000813e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.859999999999999432e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.884999999999999731e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.925000000000000600e-01
